order,occurence,word,
929,11,advice,
930,11,aesthetics,
931,11,air,
932,11,allowing,
933,11,anyone,
934,11,background,
935,11,bridge,
936,11,certainly,
937,11,columns,
938,11,community,
939,11,competition,
940,11,congo,
941,11,conventional,
942,11,cool,
943,11,developed,
944,11,district,
945,11,dom,
946,11,dungeness,
947,11,eteka,
948,11,events,
949,11,family,
950,11,figure,
951,11,file,
952,11,files,
953,11,finding,
954,11,french,
955,11,fully,
956,11,g,
957,11,gehry,
958,11,gives,
959,11,google,
960,11,greek,
961,11,grey,
962,11,happy,
963,11,head,
964,11,hear,
965,11,highlight,
966,11,hopefully,
967,11,imamba,
968,11,influenced,
969,11,key,
970,11,led,
971,11,lies,
972,11,lives,
973,11,load,
974,11,looks,
975,11,meaning,
976,11,meet,
977,11,michigan,
978,11,moral,
979,11,night,
980,11,none,
981,11,nor,
982,11,opened,
983,11,ou,
984,11,paper,
985,11,path,
986,11,player,
987,11,plays,
988,11,points,
989,11,political,
990,11,primary,
991,11,prompt,
992,11,proportions,
993,11,publication,
994,11,quickly,
995,11,reconfiguration,
996,11,renewal,
997,11,respect,
998,11,risk,
999,11,self,
1000,11,share,
1001,11,shift,
1002,11,sketch,
1003,11,soft,
1004,11,source,
1005,11,spatial,
1006,11,store,
1007,11,subject,
1008,11,talk,
1009,11,timber,
1010,11,tiny,
1011,11,useful,
1012,11,whatever,
1013,11,white,
1014,11,wood,
1015,11,écoles,
1016,10,absolute,
1017,10,absolutely,
1018,10,according,
1019,10,achieved,
1020,10,actual,
1021,10,america,
1022,10,apartment,
1023,10,apis,
1024,10,balance,
1025,10,bigger,
1026,10,bigness,
1027,10,bissau,
1028,10,black,
1029,10,break,
1030,10,bring,
1031,10,capacity,
1032,10,cases,
1033,10,ces,
1034,10,challenges,
1035,10,chance,
1036,10,changed,
1037,10,classicism,
1038,10,co,
1039,10,combined,
1040,10,computer,
1041,10,connection,
1042,10,consumers,
1043,10,context,
1044,10,control,
1045,10,credit,
1046,10,cut,
1047,10,decision,
1048,10,deeper,
1049,10,definition,
1050,10,devices,
1051,10,dimensional,
1052,10,direction,
1053,10,director,
1054,10,draw,
1055,10,effects,
1056,10,else,
1057,10,encounter,
1058,10,essential,
1059,10,ethiopia,
1060,10,exactly,
1061,10,experiences,
1062,10,eyes,
1063,10,fall,
1064,10,filled,
1065,10,film,
1066,10,five,
1067,10,force,
1068,10,formal,
1069,10,functionality,
1070,10,guinea,
1071,10,half,
1072,10,heights,
1073,10,howard,
1074,10,https,
1075,10,ideal,
1076,10,imagination,
1077,10,increasingly,
1078,10,individual,
1079,10,inner,
1080,10,institutions,
1081,10,internet,
1082,10,italian,
1083,10,layer,
1084,10,low,
1085,10,middle,
1086,10,models,
1087,10,motifs,
1088,10,moved,
1089,10,mvp,
1090,10,organization,
1091,10,paintings,
1092,10,parts,
1093,10,perception,
1094,10,plan,
1095,10,plane,
1096,10,plans,
1097,10,positive,
1098,10,possibility,
1099,10,prefab,
